Region.Label,Area,Sample.Label,Effort,distance,sex
OneStratum,1.4,1,0.5,0,male
OneStratum,1.4,1,0.5,1,female
OneStratum,1.4,1,0.5,15,male
OneStratum,1.4,1,0.5,73,male
OneStratum,1.4,1,0.5,44,male
OneStratum,1.4,2,0.5,36,male
OneStratum,1.4,2,0.5,12,male
OneStratum,1.4,2,0.5,6,male
OneStratum,1.4,2,0.5,8,male
OneStratum,1.4,2,0.5,8,male
OneStratum,1.4,2,0.5,27,male
OneStratum,1.4,3,0.5,47,male
OneStratum,1.4,3,0.5,31,male
OneStratum,1.4,3,0.5,24,male
OneStratum,1.4,4,0.5,57,male
OneStratum,1.4,4,0.5,35,male
OneStratum,1.4,4,0.5,2,female
OneStratum,1.4,5,0.5,39,male
OneStratum,1.4,5,0.5,35,male
OneStratum,1.4,5,0.5,29,male
OneStratum,1.4,6,0.5,79,male
OneStratum,1.4,6,0.5,4,female
OneStratum,1.4,6,0.5,4,male
OneStratum,1.4,6,0.5,17,female
OneStratum,1.4,7,0.5,32,male
OneStratum,1.4,7,0.5,34,male
OneStratum,1.4,7,0.5,3,male
OneStratum,1.4,7,0.5,29,male
OneStratum,1.4,8,0.5,6,male
OneStratum,1.4,8,0.5,20,male
OneStratum,1.4,8,0.5,12,male
OneStratum,1.4,9,0.5,10,male
OneStratum,1.4,9,0.5,13,male
OneStratum,1.4,9,0.5,1,male
OneStratum,1.4,9,0.5,35,male
OneStratum,1.4,9,0.5,10,male
OneStratum,1.4,10,0.5,19,male
OneStratum,1.4,10,0.5,8,male
OneStratum,1.4,11,0.5,20,male
OneStratum,1.4,12,0.5,27,male
OneStratum,1.4,12,0.5,10,male
OneStratum,1.4,12,0.5,1,male
OneStratum,1.4,12,0.5,29,male
